id,concepts,relations,elements,role,scene,encoding&recognition [ms],learning&structuring [ms]
1625761714925,4,2,10,18,3,1307,103
1625761718168,4,2,10,18,4,1493,452
1625761720941,8,8,10,21,8,20070,4382
1625761721203,4,4,10,24,7,3765,3224
1625761721534,4,2,10,18,5,1140,1012
1625761725527,4,8,10,23,4,9683,317
1625761726195,4,2,10,18,6,1366,2177
1625761729611,2,8,4,7,21,1642,182935
1625761732651,6,4,10,22,13,8140,44035
1625761732682,4,4,10,22,8,3522,4707
1625761733207,4,2,10,18,7,1492,4207
1625761735568,6,8,10,24,5,14514,969
1625761744521,4,2,10,18,8,1833,8044
1625761747574,4,8,10,23,5,9481,841
1625761749826,4,6,10,22,12,8842,35924
1625761751684,4,4,10,22,9,5454,8977
1625761757100,8,6,10,22,13,12973,29430
1625761758845,4,2,10,18,9,1866,10493
1625761768195,8,8,10,21,9,20561,6960
1625761768484,6,6,10,20,12,9601,42932
1625761769435,4,8,10,20,6,10129,1536
1625761771160,6,8,10,23,6,16574,2149
1625761774529,4,4,10,22,10,4629,13236
1625761778141,6,2,10,18,17,2702,115022
1625761779773,4,2,10,18,10,1587,17133
1625761790176,4,8,10,22,7,9648,2062
1625761792292,2,4,4,7,21,635,220144
1625761805509,6,8,10,24,7,14827,4363
1625761805873,4,2,10,18,11,2338,21430
1625761806464,4,4,10,21,11,4764,22241
1625761813194,4,8,10,23,8,9438,3459
1625761818368,8,8,10,20,10,20780,9080
1625761823125,4,6,10,24,13,6233,53696
1625761825700,6,4,10,25,14,10464,72831
1625761826249,8,6,10,22,14,15165,40240
1625761832279,2,6,4,8,22,13266,224557
1625761836980,2,6,10,22,1,1063,1
1625761837124,4,2,10,18,12,1294,28537
1625761837275,6,6,10,23,13,9204,49869
1625761841650,4,8,10,23,9,10307,6300
1625761843833,2,6,10,22,2,3163,335
1625761844527,6,8,10,23,8,15687,7168
1625761850662,2,6,10,24,3,3274,96
1625761852906,4,4,10,23,12,5756,34193
1625761857921,2,6,10,25,4,3186,314
1625761865936,2,6,10,20,5,3568,1119
1625761873786,4,8,10,24,10,11270,9494
1625761874991,8,8,10,22,11,21551,13894
1625761875564,2,6,10,24,6,3691,2095
1625761884451,4,2,10,18,13,2704,41178
1625761884934,2,6,10,22,7,3154,3109
1625761888722,6,8,10,23,9,16523,11854
1625761898207,2,6,10,25,8,3685,5686
1625761910917,4,8,10,23,11,11069,15252
1625761911741,2,2,4,6,21,1041,244859
1625761915253,4,6,10,22,14,10134,71480
1625761917420,2,6,10,21,9,5327,9674
1625761919505,4,4,10,24,13,6486,53742
